,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,ExterQualOrigin,ExterCondOrigin,GarageQualOrigin,GarageCondOrigin,FireplaceQuOrigin,KitchenQualOrigin,HeatingQCOrigin,BsmtQualOrigin,BsmtExposureOrigin,BsmtFinType1Origin,BsmtFinType2Origin,FunctionalOrigin,GarageFinishOrigin,FenceOrigin,NewHouse,Season,TotalArea
1,60,RL,65,8450,Pave,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,4,3,PConc,4,TA,1,6,706,1,0,150,856,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,0,Attchd,2003,1,2,548,3,3,Y,0,61,0,0,0,0,None,0,None,0,2,2008,WD,Normal,208500,Gd,TA,TA,TA,None,Gd,Ex,Gd,No,GLQ,Unf,Typ,RFn,None,0,0,14452
2,20,RL,80,9600,Pave,None,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,4,TA,4,5,978,1,0,284,1262,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,3,Attchd,1976,1,2,460,3,3,Y,298,0,0,0,0,0,None,0,None,0,5,2007,WD,Normal,181500,TA,TA,TA,TA,TA,TA,Ex,Gd,Gd,ALQ,Unf,Typ,RFn,None,0,1,15486
3,60,RL,68,11250,Pave,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,4,3,PConc,4,TA,2,6,486,1,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,3,Attchd,2001,1,2,608,3,3,Y,0,42,0,0,0,0,None,0,None,0,9,2008,WD,Normal,223500,Gd,TA,TA,TA,TA,Gd,Ex,Gd,Mn,GLQ,Unf,Typ,RFn,None,0,0,17542
4,70,RL,60,9550,Pave,None,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0,3,3,BrkTil,3,Gd,1,5,216,1,0,540,756,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,4,Detchd,1998,1,3,642,3,3,Y,0,35,272,0,0,0,None,0,None,0,2,2006,WD,Abnorml,140000,TA,TA,TA,TA,Gd,Gd,Gd,TA,No,ALQ,Unf,Typ,Unf,None,0,0,15505
5,60,RL,84,14260,Pave,None,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,4,3,PConc,4,TA,3,6,655,1,0,490,1145,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,3,Attchd,2000,1,3,836,3,3,Y,192,84,0,0,0,0,None,0,None,0,12,2008,WD,Normal,250000,Gd,TA,TA,TA,TA,Gd,Ex,Gd,Av,GLQ,Unf,Typ,RFn,None,0,0,22492
6,50,RL,85,14115,Pave,None,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,Wood,4,TA,1,6,732,1,0,64,796,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,0,Attchd,1993,1,2,480,3,3,Y,40,30,0,320,0,0,None,2,Shed,700,10,2009,WD,Normal,143000,TA,TA,TA,TA,None,TA,Ex,Gd,No,GLQ,Unf,Typ,Unf,MnPrv,0,0,19386
7,20,RL,75,10084,Pave,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,4,3,PConc,5,TA,3,6,1369,1,0,317,1686,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,4,Attchd,2004,1,2,636,3,3,Y,255,57,0,0,0,0,None,0,None,0,8,2007,WD,Normal,307000,Gd,TA,TA,TA,Gd,Gd,Ex,Ex,Av,GLQ,Unf,Typ,RFn,None,0,0,18053
8,60,RL,72.04859471,10382,Pave,None,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,3,3,CBlock,4,TA,2,5,859,4,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,3,Attchd,1973,1,2,484,3,3,Y,235,204,228,0,0,0,None,0,Shed,350,11,2009,WD,Normal,200000,TA,TA,TA,TA,TA,TA,Ex,Gd,Mn,ALQ,BLQ,Typ,RFn,None,0,0,18239.04859
9,50,RM,51,6120,Pave,None,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0,3,3,BrkTil,3,TA,1,1,0,1,0,952,952,GasA,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,3,Detchd,1931,1,2,468,2,3,Y,90,0,205,0,0,0,None,0,None,0,4,2008,WD,Abnorml,129900,TA,TA,Fa,TA,TA,TA,Gd,TA,No,Unf,Unf,Min1,Unf,None,0,0,12386
10,190,RL,50,7420,Pave,None,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,TA,1,6,851,1,0,140,991,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,3,Attchd,1939,1,1,205,4,3,Y,0,4,0,0,0,0,None,0,None,0,1,2008,WD,Normal,118000,TA,TA,Gd,TA,TA,TA,Ex,TA,No,GLQ,Unf,Typ,RFn,None,0,0,11815
11,20,RL,70,11200,Pave,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,TA,1,3,906,1,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,0,Detchd,1965,1,1,384,3,3,Y,0,0,0,0,0,0,None,0,None,0,2,2008,WD,Normal,129500,TA,TA,TA,TA,None,TA,Ex,TA,No,Rec,Unf,Typ,Unf,None,0,0,15814
12,60,RL,85,11924,Pave,None,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286,5,3,PConc,5,TA,1,6,998,1,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,4,BuiltIn,2005,2,3,736,3,3,Y,147,21,0,0,0,0,None,0,None,0,7,2006,New,Partial,345000,Ex,TA,TA,TA,Gd,Ex,Ex,Ex,No,GLQ,Unf,Typ,Fin,None,0,1,20197
